title,year_month_x,type,release_date,imdb_score,imdb_votes,genres,country,director,date,open,high,low,close,adj_close,volume,daily_return,volatility,MA30,year_month_y
Love Actually,2003-01,MOVIE,2003-01-01,7.6,474176.0,Romance,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Ishq Vishk,2003-01,MOVIE,2003-01-01,6.1,4203.0,Crime,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Tears of the Sun,2003-01,MOVIE,2003-01-01,6.6,121066.0,Comedy,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
The Kite,2003-01,MOVIE,2003-01-01,6.4,739.0,Thriller,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
The Last Samurai,2003-01,MOVIE,2003-01-01,7.8,429097.0,"Action, Drama",Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Kucch To Hai,2003-01,MOVIE,2003-01-01,4.3,909.0,"Drama, Horror, Romance",Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Arrested Development,2003-01,SHOW,2003-01-01,8.699999999999998,297552.0,Drama,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Kal Ho Naa Ho,2003-01,MOVIE,2003-01-01,7.9,68028.0,"Drama, Romance",Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Strawberry Shortcake,2003-01,SHOW,2003-01-01,7.0,13.0,Adventure,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003-01,MOVIE,2003-01-01,7.6,2206.0,Romance,Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
NCIS,2003-01,SHOW,2003-01-01,7.8,141049.0,"Horror, Thriller, Crime",Unknown,Unknown,2002-12-31,0.7128570079803467,0.800000011920929,0.692857027053833,0.7864289879798889,0.7864289879798889,11369400,0.1021033292166924,0.06930641469837,0.7813095986843109,2002-12
